time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-12-11,14,8.00,0.61,11,11.00,3,-3.00
2021-12-12,3,3.00,1.00,3,3.00,0,0.00
2021-12-13,81,25.00,0.53,53,53.00,28,-28.00
2021-12-14,123,47.00,0.43,85,85.00,38,-38.00
2021-12-15,55,7.00,0.37,31,31.00,24,-24.00
2021-12-16,44,16.00,0.54,30,30.00,14,-14.00
2021-12-17,36,12.00,0.79,24,24.00,12,-12.00
2021-12-18,9,5.00,0.72,7,7.00,2,-2.00
2021-12-19,9,1.00,0.09,5,5.00,4,-4.00
2021-12-20,37,17.00,0.55,27,27.00,10,-10.00
2021-12-21,71,31.00,0.46,51,51.00,20,-20.00
2021-12-22,42,30.00,0.77,36,36.00,6,-6.00
2021-12-23,49,15.00,0.39,32,32.00,17,-17.00
2021-12-24,51,27.00,0.62,39,39.00,12,-12.00
2021-12-25,8,2.00,0.06,5,5.00,3,-3.00
2021-12-26,12,2.00,0.40,7,7.00,5,-5.00
2021-12-27,87,21.00,0.65,54,54.00,33,-33.00
2021-12-28,52,28.00,0.68,40,40.00,12,-12.00
2021-12-29,32,12.00,0.60,22,22.00,10,-10.00
2021-12-30,27,5.00,0.30,16,16.00,11,-11.00
2021-12-31,50,24.00,0.56,37,37.00,13,-13.00
2022-01-01,6,4.00,0.74,5,5.00,1,-1.00
2022-01-02,5,3.00,0.72,4,4.00,1,-1.00
2022-01-03,6,6.00,1.00,6,6.00,0,0.00
2022-01-04,30,12.00,0.40,21,21.00,9,-9.00
2022-01-05,63,23.00,0.40,43,43.00,20,-20.00
2022-01-06,46,16.00,0.46,31,31.00,15,-15.00
2022-01-07,44,22.00,0.49,33,33.00,11,-11.00
2022-01-08,8,0.00,0.02,4,4.00,4,-4.00
2022-01-09,24,12.00,0.67,18,18.00,6,-6.00
2022-01-10,64,34.00,0.53,49,49.00,15,-15.00
2022-01-11,68,12.00,0.46,40,40.00,28,-28.00
2022-01-12,51,13.00,0.38,32,32.00,19,-19.00
2022-01-13,68,20.00,0.34,44,44.00,24,-24.00
2022-01-14,72,24.00,0.45,48,48.00,24,-24.00
2022-01-15,13,9.00,0.81,11,11.00,2,-2.00
2022-01-16,14,8.00,0.73,11,11.00,3,-3.00
2022-01-17,44,24.00,0.63,34,34.00,10,-10.00
2022-01-18,75,25.00,0.43,50,50.00,25,-25.00
2022-01-19,41,19.00,0.75,30,30.00,11,-11.00
2022-01-20,88,28.00,0.39,58,58.00,30,-30.00
2022-01-21,37,21.00,0.63,29,29.00,8,-8.00
2022-01-22,9,9.00,1.00,9,9.00,0,0.00
2022-01-23,6,4.00,0.51,5,5.00,1,-1.00
2022-01-24,48,28.00,0.71,38,38.00,10,-10.00
2022-01-25,35,19.00,0.67,27,27.00,8,-8.00
2022-01-26,32,8.00,0.29,20,20.00,12,-12.00
2022-01-27,44,24.00,0.60,34,34.00,10,-10.00
2022-01-28,44,26.00,0.63,35,35.00,9,-9.00
2022-01-29,8,8.00,1.00,8,8.00,0,0.00
2022-01-30,2,0.00,0.44,1,1.00,1,-1.00
2022-01-31,3,1.00,0.57,2,2.00,1,-1.00
2022-02-01,3,3.00,1.00,3,3.00,0,0.00
2022-02-03,3,1.00,0.38,2,2.00,1,-1.00
2022-02-04,3,-1.00,-0.27,1,1.00,2,-2.00
2022-02-05,1,1.00,1.00,1,1.00,0,0.00
2022-02-06,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-07,33,15.00,0.56,24,24.00,9,-9.00
