time,all_num_科沃斯,all_dic_score,科沃斯舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-03-20,5,-1.00,-0.17,2,2.00,3,-3.00
2021-03-21,3,1.00,0.70,2,2.00,1,-1.00
2021-03-22,15,7.00,0.41,11,11.00,4,-4.00
2021-03-23,4,2.00,0.55,3,3.00,1,-1.00
2021-03-24,19,11.00,0.69,15,15.00,4,-4.00
2021-03-25,7,3.00,0.45,5,5.00,2,-2.00
2021-03-26,65,5.00,0.24,35,35.00,30,-30.00
2021-03-27,9,7.00,0.87,8,8.00,1,-1.00
2021-03-28,10,4.00,0.38,7,7.00,3,-3.00
2021-03-29,48,28.00,0.60,38,38.00,10,-10.00
2021-03-30,34,14.00,0.54,24,24.00,10,-10.00
2021-03-31,17,7.00,0.45,12,12.00,5,-5.00
2021-04-01,76,6.00,0.18,41,41.00,35,-35.00
2021-04-02,27,3.00,0.33,15,15.00,12,-12.00
2021-04-03,4,2.00,0.55,3,3.00,1,-1.00
2021-04-05,3,1.00,0.03,2,2.00,1,-1.00
2021-04-06,6,6.00,1.00,6,6.00,0,0.00
2021-04-07,10,4.00,0.43,7,7.00,3,-3.00
2021-04-08,19,11.00,0.66,15,15.00,4,-4.00
2021-04-09,6,6.00,1.00,6,6.00,0,0.00
2021-04-10,3,3.00,1.00,3,3.00,0,0.00
2021-04-11,2,0.00,0.50,1,1.00,1,-1.00
2021-04-12,18,4.00,0.50,11,11.00,7,-7.00
2021-04-13,8,4.00,0.53,6,6.00,2,-2.00
2021-04-14,10,4.00,0.51,7,7.00,3,-3.00
2021-04-15,4,0.00,-0.27,2,2.00,2,-2.00
2021-04-16,13,3.00,0.36,8,8.00,5,-5.00
2021-04-17,3,1.00,0.44,2,2.00,1,-1.00
2021-04-18,8,0.00,0.49,4,4.00,4,-4.00
2021-04-19,1,1.00,1.00,1,1.00,0,0.00
2021-04-20,10,4.00,0.59,7,7.00,3,-3.00
2021-04-21,7,5.00,0.82,6,6.00,1,-1.00
2021-04-22,8,6.00,0.82,7,7.00,1,-1.00
2021-04-23,69,41.00,0.62,55,55.00,14,-14.00
2021-04-24,11,3.00,0.45,7,7.00,4,-4.00
2021-04-25,8,6.00,0.88,7,7.00,1,-1.00
