time,no,review,score,read_volume
2022/6/24,123,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '分', '垃圾']",-1,207
2022/6/24,124,"['粤', '传媒', '：', '融资', '净', '买入', '169.32', '万元', '，', '融资', '余额', '1.88', '亿元', '（', '06']",0,322
2022/6/24,125,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '保佑', '明天', '解套', '，', '不想', '发财', '了']",1,617
2022/6/24,126,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '6.25', '的', '本', '。', '基本', '没戏', '了', '吧']",-1,643
2022/6/24,127,"['今天', '主力', '进', '了']",7,288
2022/6/23,128,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '刚来', '的', '问', '一下', '，', '这股', '涨', '上去', '是', '什么', '概']",1,686
2022/6/23,129,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这货', '应该', '是', '要', '等', '大盘', '跌', '他', '才', '会涨', '了']",0,435
2022/6/23,130,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这个', '是', '啥子', '鸡', '骗子', '公司', '哦']",-5,181
2022/6/23,131,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '昨天', '出得', '不', '冤', '[', '吃瓜', ']']",0,2660
2022/6/23,132,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这货', '应该', '是', '要', '等', '大盘', '跌', '他', '才', '会涨', '了']",0,178
2022/6/23,133,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '坐等', '今天', '拉升', '。', '元', '宇宙', '正宗', '概念', '。']",2,518
2022/6/23,134,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '啊']",0,182
2022/6/23,135,"['别说', '德子', '坑', '。', '他', '昨天', '直播', '已经', '说', '止损', '了', '，', '一共', '不', '超过', '三个']",-1,482
2022/6/23,136,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '快', '把', '这', '玩意', '收拾', '了', '吧', '，', '看着', '就', '无比', '郁']",0,186
2022/6/23,137,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '玩', '不过', '，', '先', '撤', '了']",0,430
2022/6/23,138,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '又', '到', '了', '进场', '时间', '了']",0,195
2022/6/23,139,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '超级', '垃圾股']",0,177
2022/6/23,140,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '不看', '了', '，', '老娘', '当', '股东']",0,502
2022/6/23,141,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '一动不动', '是']",0,182
2022/6/23,142,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '一动不动', '是']",0,179
2022/6/23,143,"['一个点', '都', '那么', '困难']",0,194
2022/6/23,144,"['看', '了', '都', '摇头']",0,353
2022/6/23,145,"['等', '风来', '！']",0,404
2022/6/23,146,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '一路', '往', '下跌', '，', '一点', '都', '不', '反弹', '，', '这个', '庄']",-2.5,368
2022/6/23,147,"['不', '跟', '穷庄', '玩']",0,191
2022/6/23,148,"['快去', '抢筹', '002312', '，', '多重', '利好', '。']",2,436
2022/6/23,149,"['粤', '传媒', '坐庄', '想要', '我', '瞧得起', '你', '，', '你', '今天', '给', '点力', '使劲', '的', '跌', '，', '不']",2,424
2022/6/23,150,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '怎么', '还', '不', '跌停', '啊', '？', '赶紧', '连续', '来', '十个', '跌']",-0.5,358
2022/6/23,151,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '烂', '废物']",-1,197
2022/6/23,152,"['醒醒', '～', '醒醒']",0,194
2022/6/23,153,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '垃圾']",-1,204
2022/6/23,154,"['股', '吧', '里', '有', '索够', '的', '，', '一定', '要', '远离', '此股', '，', '否则', '让', '你', '怀疑', '人生']",-1,215
2022/6/23,155,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '相信', '我', '今天', '跌停', '进', '绝对', '没错', '！', '！', '！', '！']",6,207
2022/6/23,156,"['粤', '传媒', '：', '融资', '净', '买入', '20.71', '万元', '，', '融资', '余额', '1.86', '亿元', '（', '06', '-']",0,316
2022/6/23,157,"['还', '我', '钱', '我', '不', '赌', '了']",0,214
2022/6/23,158,"['我', '那么', '一点', '养老', '钱', '，', '他们', '也', '看上', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']']",0,260
2022/6/23,159,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '别着急', '买', '，', '大概', '二周', '后', '再', '动手']",-1,210
2022/6/23,160,"['今天', '开始', '补仓', '，', '和', '主力', '共渡难关']",7,426
2022/6/23,161,"['3.5', '元见']",0,195
2022/6/23,162,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '明天', '4', '块钱', '开始', '建仓', '，', '陪', '你们', '一起', '挨']",0,258
2022/6/23,163,"['这个', '垃圾', '这一波', '拉升', '就是', '为', '套', '人', '吗', '？']",0,337
2022/6/22,164,"['杀猪', '盘', '了', '，', '老师', '喊', '挂单', '买', '的']",0,363
2022/6/22,165,"['戒赌', '，', '这', '不是', '散户', '赌', '的', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']', '[', '哭', ']', '[']",0,139
2022/6/22,166,"['一', '买进', '就', '跌', '，', '一走', '就', '涨', '，', '这', '不是', '坑人', '吗']",1,112
2022/6/22,167,"['买', '十几年', '的', '股票', '总结', '出', '经验', '，', '我', '不', '走', '不', '会涨', '，', '我', '走', '了', '才', '会']",1,123
2022/6/22,168,"['主升', '已经', '结束', '破位', '下跌', '，', '目前', '只是', '中继', '而已', '，', '下方', '3', '元', '。']",-1,417
2022/6/22,169,"['人家', '都', '走', '了', '拜拜']",0,135
2022/6/22,170,"['看', '这', '阵势', '，', '错过', '了', '不止', '一个', '涨停板', '呀', '！', '！']",0,252
2022/6/22,171,"['今天', '最后', '一天', '洗盘', '，', '明天', '有', '惊喜']",7,441
2022/6/22,172,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '下', '一个', '支撑位', '4.2']",0,424
2022/6/22,173,"['价值', '回归', '3.8', '附近']",1,287
2022/6/22,174,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '明天', '跌停', '打个', '底', '仓', '的', '嘿嘿', '嘿嘿嘿', '嘿嘿']",-1,450
2022/6/22,175,"['太狠', '了', '，', '会', '死', '人', '的', '！']",0,149
2022/6/22,176,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '两', '部门', '联合', '印发', '《', '网络', '主播', '行为规范']",1,341
2022/6/22,177,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$']",0,163
2022/6/22,178,"['差不多', '了']",0,335
2022/6/22,179,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '我', '拉', '涨停板', '[', '偷笑', ']']",1,254
2022/6/22,180,"['起飞', '了', '最少', '10', '个', '涨停板', '。']",2,616
2022/6/22,181,"['来个', '涨停', '，', '把', '你们', '的', '信仰', '甩', '在', '地上', '摩擦']",1,339
2022/6/22,182,"['周五', '买入', '的', '粤', '传媒', '，', '开仓', '的', '3', '只', '都', '涨停']",1,633
2022/6/22,183,"['可以', '等', '来', '的', '涨停']",1,302
2022/6/22,184,"['连续', '拉', '涨停', '，', '而且', '瞬间', '拉', '涨停', '，', '典型', '的', '操纵', '价格']",2,530
2022/6/22,185,"['今天', '涨停', '，', '就', '到', '20', '元', '。']",1,451
2022/6/22,186,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '为了', '等', '5', '个点', '的', '反弹', '，', '反而', '让', '套', '了', '5', '个']",1,189
2022/6/22,187,"['跌', '的', '好', '恐怖']",-1,141
2022/6/22,188,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '破位', '走人']",-1,335
2022/6/22,189,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '公司', '目前', '账上', '资金', '维持', '在', '25', '亿元', '左右']",0,430
2022/6/22,190,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '对', '倒', '作量', '，', '吸引', '跟风盘', '。', '出货']",1,510
2022/6/22,191,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '爹爹', '，', '我', '是', '股东', '呀', '，', '看看', '孩子', '吧']",0,150
2022/6/22,192,"['今日', '夏至', '，', '无风', '。', '等', '着', '吧']",0,401
2022/6/22,193,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '真的', '不能', '追涨']",-1,145
2022/6/22,194,"['行情', '这么', '好', '买', '彩票', '的', '人', '肯定', '多', '[', '偷笑', ']']",0,154
2022/6/22,195,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '神经病', '股', '，', '别人', '涨', '它', '不涨', '，', '别人', '跌', '了']",-5,151
2022/6/22,196,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '废', '了', '，', '天天', '阴跌']",-1,148
2022/6/22,197,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '跌到', '什么', '时候', '才', '是', '个头']",0,144
2022/6/22,198,"['两点', '半', '了', '，', '可以', '买入', '了', '！', '[', '大笑', ']', '[', '大笑', ']', '[', '大笑', ']']",0,152
2022/6/22,199,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '废', '了']",0,131
2022/6/22,200,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '快', '跑', '，', '黑色', '星期四', '就要', '到', '了', '。']",0,139
2022/6/22,201,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '越洗', '散户', '越多', '，', '玩', '鸡毛']",0,144
2022/6/22,202,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '庄家', '每天', '左手', '倒', '右手', '控盘', '，', '每天', '跌', '1', '-']",-2,312
2022/6/22,203,"['我', '不', '打算', '卖', '，', '我', '这', '两万', '不', '给', '我', '赚', '最多', '陪庄', '玩完', '，', '装', '你', '成本']",0,349
2022/6/22,204,"['耐心', '！', '！', '！', '！']",5,363
2022/6/22,205,['转发'],0,211
2022/6/22,206,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '叼', '毛股', '，', '天天', '跌到', '西', '咁']",0,139
2022/6/22,207,"['跌跌不休', '，', '已', '没有', '反', '抽之力', '了']",-1,389
2022/6/22,208,"['亏了', '一毛钱', '卖', '了', '，', '换', '了', '中国', '出版']",0,284
2022/6/22,209,"['近期', '都', '是', '套牢', '盘', '，', '一两个', '月', '难', '有', '动作']",-1,156
2022/6/22,210,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '此股', '的', '操盘手', '最', '省力', '了', '，', '脑子', '都', '不要']",0,176
2022/6/22,211,"['如果', '我', '卖出', '可以', '换', '涨停', '，', '那', '我', '义不容辞', '。']",2,298
2022/6/22,212,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '我', '寻思', '着', '这', '六块', '多', '的', '筹码', '也', '不能', '全是']",0,360
