time,all_num_中国化学,all_dic_score,中国化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022/4/30,3,3,1,3,3,0,0
2022/5/1,1,1,1,1,1,0,0
2022/5/2,2,0,0.07,1,1,1,-1
2022/5/3,4,2,0.48,3,3,1,-1
2022/5/4,5,5,1,5,5,0,0
2022/5/5,27,11,0.65,19,19,8,-8
2022/5/6,60,28,0.52,44,44,16,-16
2022/5/7,5,5,1,5,5,0,0
2022/5/8,2,-2,-1,0,0,2,-2
2022/5/9,34,18,0.46,26,26,8,-8
2022/5/10,47,21,0.41,34,34,13,-13
2022/5/11,37,17,0.4,27,27,10,-10
2022/5/12,37,1,0.09,19,19,18,-18
2022/5/13,32,8,-0.08,20,20,12,-12
2022/5/14,4,4,1,4,4,0,0
2022/5/15,5,3,0.66,4,4,1,-1
2022/5/16,39,21,0.63,30,30,9,-9
2022/5/17,35,11,0.51,23,23,12,-12
2022/5/18,33,21,0.69,27,27,6,-6
2022/5/19,58,26,0.56,42,42,16,-16
2022/5/20,41,15,0.44,28,28,13,-13
2022/5/21,7,5,0.71,6,6,1,-1
2022/5/22,8,8,1,8,8,0,0
2022/5/23,57,17,0.4,37,37,20,-20
2022/5/24,83,25,0.2,54,54,29,-29
2022/5/25,73,17,0.28,45,45,28,-28
2022/5/26,49,29,0.59,39,39,10,-10
2022/5/27,44,26,0.7,35,35,9,-9
2022/5/28,6,6,1,6,6,0,0
2022/5/29,2,2,1,2,2,0,0
2022/5/30,27,21,0.87,24,24,3,-3
2022/5/31,24,4,0.31,14,14,10,-10
2022/6/1,54,22,0.39,38,38,16,-16
2022/6/2,73,49,0.67,61,61,12,-12
2022/6/3,3,3,1,3,3,0,0
2022/6/4,4,2,0.25,3,3,1,-1
2022/6/5,8,6,0.55,7,7,1,-1
2022/6/6,45,15,0.34,30,30,15,-15
2022/6/7,25,7,-0.07,16,16,9,-9
2022/6/8,46,22,0.67,34,34,12,-12
2022/6/9,49,31,0.61,40,40,9,-9
2022/6/10,63,15,0.34,39,39,24,-24
2022/6/11,6,4,0.71,5,5,1,-1
