time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-12-11,1,1.00,1.00,1,1.00,0,0.00
2021-12-12,7,1.00,0.02,4,4.00,3,-3.00
2021-12-13,10,0.00,-0.08,5,5.00,5,-5.00
2021-12-14,16,-4.00,-0.20,6,6.00,10,-10.00
2021-12-15,46,-8.00,0.03,19,19.00,27,-27.00
2021-12-16,77,-7.00,0.10,35,35.00,42,-42.00
2021-12-17,43,-3.00,-0.14,20,20.00,23,-23.00
2021-12-18,5,-1.00,-0.14,2,2.00,3,-3.00
2021-12-19,3,3.00,1.00,3,3.00,0,0.00
2021-12-20,60,-10.00,0.05,25,25.00,35,-35.00
2021-12-21,37,25.00,0.78,31,31.00,6,-6.00
2021-12-22,21,-1.00,0.17,10,10.00,11,-11.00
2021-12-23,26,4.00,0.11,15,15.00,11,-11.00
2021-12-24,28,2.00,0.27,15,15.00,13,-13.00
2021-12-25,5,-1.00,-0.08,2,2.00,3,-3.00
2021-12-26,4,4.00,1.00,4,4.00,0,0.00
2021-12-27,20,-4.00,-0.31,8,8.00,12,-12.00
2021-12-28,17,-3.00,0.85,7,7.00,10,-10.00
2021-12-29,16,0.00,0.35,8,8.00,8,-8.00
2021-12-30,58,-12.00,-0.08,23,23.00,35,-35.00
2021-12-31,40,-4.00,0.05,18,18.00,22,-22.00
2022-01-01,3,1.00,0.52,2,2.00,1,-1.00
2022-01-02,4,4.00,1.00,4,4.00,0,0.00
2022-01-03,8,4.00,0.59,6,6.00,2,-2.00
2022-01-04,53,-23.00,-0.34,15,15.00,38,-38.00
2022-01-05,19,-1.00,0.24,9,9.00,10,-10.00
2022-01-06,25,-7.00,-0.15,9,9.00,16,-16.00
2022-01-07,69,-23.00,-0.25,23,23.00,46,-46.00
2022-01-08,6,0.00,-0.14,3,3.00,3,-3.00
2022-01-09,9,5.00,0.87,7,7.00,2,-2.00
2022-01-10,18,-2.00,-0.08,8,8.00,10,-10.00
2022-01-11,28,2.00,0.06,15,15.00,13,-13.00
2022-01-12,29,-3.00,0.19,13,13.00,16,-16.00
2022-01-13,14,6.00,0.79,10,10.00,4,-4.00
2022-01-14,14,2.00,0.38,8,8.00,6,-6.00
2022-01-15,4,0.00,0.06,2,2.00,2,-2.00
2022-01-16,6,6.00,1.00,6,6.00,0,0.00
2022-01-17,16,-6.00,-0.22,5,5.00,11,-11.00
2022-01-18,18,6.00,0.50,12,12.00,6,-6.00
2022-01-19,18,-2.00,0.75,8,8.00,10,-10.00
2022-01-20,20,-10.00,-0.40,5,5.00,15,-15.00
