time,all_num_高德红外,all_dic_score,高德红外舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-12-14,76,24.00,0.29,50,50.00,26,-26.00
2021-12-15,189,51.00,0.26,120,120.00,69,-69.00
2021-12-16,122,30.00,0.32,76,76.00,46,-46.00
2021-12-17,124,24.00,0.06,74,74.00,50,-50.00
2021-12-18,17,-7.00,-0.18,5,5.00,12,-12.00
2021-12-19,11,7.00,0.75,9,9.00,2,-2.00
2021-12-20,95,13.00,0.32,54,54.00,41,-41.00
2021-12-21,55,13.00,0.40,34,34.00,21,-21.00
2021-12-22,71,-9.00,-0.10,31,31.00,40,-40.00
2021-12-23,102,-2.00,0.06,50,50.00,52,-52.00
2021-12-24,114,16.00,0.09,65,65.00,49,-49.00
2021-12-25,10,2.00,-0.09,6,6.00,4,-4.00
2021-12-26,13,-1.00,0.13,6,6.00,7,-7.00
2021-12-27,91,3.00,-0.09,47,47.00,44,-44.00
2021-12-28,43,15.00,0.46,29,29.00,14,-14.00
2021-12-29,43,27.00,0.59,35,35.00,8,-8.00
2021-12-30,76,18.00,0.15,47,47.00,29,-29.00
2021-12-31,81,-7.00,0.00,37,37.00,44,-44.00
2022-01-01,11,5.00,0.01,8,8.00,3,-3.00
2022-01-02,3,1.00,0.33,2,2.00,1,-1.00
2022-01-03,9,1.00,-0.12,5,5.00,4,-4.00
2022-01-04,65,17.00,0.06,41,41.00,24,-24.00
2022-01-05,80,0.00,0.08,40,40.00,40,-40.00
2022-01-06,134,24.00,0.14,79,79.00,55,-55.00
2022-01-07,79,-9.00,-0.27,35,35.00,44,-44.00
2022-01-08,14,2.00,0.25,8,8.00,6,-6.00
2022-01-09,23,9.00,0.37,16,16.00,7,-7.00
2022-01-10,125,39.00,0.47,82,82.00,43,-43.00
2022-01-11,40,8.00,0.13,24,24.00,16,-16.00
2022-01-12,89,-11.00,-0.11,39,39.00,50,-50.00
2022-01-13,74,22.00,0.39,48,48.00,26,-26.00
2022-01-14,28,8.00,0.14,18,18.00,10,-10.00
2022-01-15,2,0.00,-0.24,1,1.00,1,-1.00
2022-01-16,10,6.00,0.24,8,8.00,2,-2.00
2022-01-17,47,13.00,0.35,30,30.00,17,-17.00
2022-01-18,114,36.00,0.37,75,75.00,39,-39.00
2022-01-19,80,2.00,0.16,41,41.00,39,-39.00
2022-01-20,35,3.00,0.15,19,19.00,16,-16.00
2022-01-21,73,-9.00,-0.18,32,32.00,41,-41.00
2022-01-22,5,1.00,0.29,3,3.00,2,-2.00
2022-01-23,11,1.00,0.22,6,6.00,5,-5.00
2022-01-24,36,6.00,0.08,21,21.00,15,-15.00
2022-01-25,66,2.00,0.17,34,34.00,32,-32.00
2022-01-26,58,6.00,0.02,32,32.00,26,-26.00
2022-01-27,95,11.00,0.16,53,53.00,42,-42.00
2022-01-28,37,9.00,0.33,23,23.00,14,-14.00
2022-01-29,5,-3.00,-0.47,1,1.00,4,-4.00
2022-01-30,4,-2.00,-0.58,1,1.00,3,-3.00
2022-01-31,2,2.00,1.00,2,2.00,0,0.00
2022-02-01,1,-1.00,-1.00,0,0.00,1,-1.00
2022-02-02,1,1.00,1.00,1,1.00,0,0.00
2022-02-03,6,4.00,0.68,5,5.00,1,-1.00
2022-02-05,2,2.00,1.00,2,2.00,0,0.00
2022-02-06,5,-1.00,-0.17,2,2.00,3,-3.00
2022-02-07,19,-5.00,-0.28,7,7.00,12,-12.00
2022-02-08,30,4.00,0.13,17,17.00,13,-13.00
2022-02-09,12,4.00,0.13,8,8.00,4,-4.00
2022-02-10,29,9.00,0.19,19,19.00,10,-10.00
2022-02-11,35,5.00,0.18,20,20.00,15,-15.00
2022-02-12,8,2.00,0.11,5,5.00,3,-3.00
2022-02-13,7,3.00,0.58,5,5.00,2,-2.00
2022-02-14,28,4.00,0.33,16,16.00,12,-12.00
2022-02-15,26,-12.00,-0.44,7,7.00,19,-19.00
2022-02-16,38,-2.00,-0.03,18,18.00,20,-20.00
2022-02-17,86,-16.00,-0.22,35,35.00,51,-51.00
2022-02-18,33,3.00,0.18,18,18.00,15,-15.00
2022-02-19,6,0.00,0.09,3,3.00,3,-3.00
2022-02-20,5,1.00,0.21,3,3.00,2,-2.00
2022-02-21,28,6.00,0.35,17,17.00,11,-11.00
2022-02-22,23,-3.00,0.03,10,10.00,13,-13.00
2022-02-23,33,17.00,0.51,25,25.00,8,-8.00
2022-02-24,63,3.00,0.05,33,33.00,30,-30.00
2022-02-25,48,-2.00,0.07,23,23.00,25,-25.00
2022-02-26,1,1.00,1.00,1,1.00,0,0.00
2022-02-27,10,-4.00,-0.49,3,3.00,7,-7.00
2022-02-28,31,11.00,0.42,21,21.00,10,-10.00
2022-03-01,39,9.00,0.21,24,24.00,15,-15.00
2022-03-02,36,-4.00,-0.29,16,16.00,20,-20.00
2022-03-03,36,-2.00,0.03,17,17.00,19,-19.00
2022-03-04,30,4.00,0.06,17,17.00,13,-13.00
2022-03-05,3,-1.00,0.30,1,1.00,2,-2.00
2022-03-06,12,8.00,0.63,10,10.00,2,-2.00
2022-03-07,60,-4.00,-0.25,28,28.00,32,-32.00
2022-03-08,213,-59.00,-0.24,77,77.00,136,-136.00
2022-03-09,98,-2.00,0.02,48,48.00,50,-50.00
2022-03-10,91,-15.00,-0.20,38,38.00,53,-53.00
2022-03-11,83,-11.00,-0.14,36,36.00,47,-47.00
2022-03-12,6,0.00,0.04,3,3.00,3,-3.00
2022-03-13,11,5.00,0.68,8,8.00,3,-3.00
2022-03-14,46,2.00,0.40,24,24.00,22,-22.00
2022-03-15,63,7.00,0.05,35,35.00,28,-28.00
2022-03-16,77,-7.00,-0.33,35,35.00,42,-42.00
2022-03-17,34,-2.00,-0.09,16,16.00,18,-18.00
2022-03-18,40,4.00,0.17,22,22.00,18,-18.00
2022-03-19,6,0.00,0.03,3,3.00,3,-3.00
2022-03-20,5,1.00,0.21,3,3.00,2,-2.00
2022-03-21,17,1.00,0.00,9,9.00,8,-8.00
2022-03-22,29,1.00,0.02,15,15.00,14,-14.00
2022-03-23,44,-4.00,-0.11,20,20.00,24,-24.00
2022-03-24,35,-3.00,-0.28,16,16.00,19,-19.00
2022-03-25,62,-14.00,-0.13,24,24.00,38,-38.00
2022-03-26,5,3.00,0.60,4,4.00,1,-1.00
2022-03-27,7,1.00,-0.12,4,4.00,3,-3.00
2022-03-28,35,-13.00,-0.24,11,11.00,24,-24.00
2022-03-29,65,-1.00,0.20,32,32.00,33,-33.00
2022-03-30,88,-12.00,-0.08,38,38.00,50,-50.00
2022-03-31,94,0.00,-0.04,47,47.00,47,-47.00
2022-04-01,54,10.00,0.18,32,32.00,22,-22.00
2022-04-02,5,-1.00,-0.21,2,2.00,3,-3.00
2022-04-03,1,1.00,1.00,1,1.00,0,0.00
2022-04-04,7,-3.00,-0.70,2,2.00,5,-5.00
2022-04-05,6,2.00,0.69,4,4.00,2,-2.00
2022-04-06,75,-19.00,-0.32,28,28.00,47,-47.00
2022-04-07,115,17.00,0.29,66,66.00,49,-49.00
2022-04-08,73,7.00,0.22,40,40.00,33,-33.00
2022-04-09,6,4.00,0.46,5,5.00,1,-1.00
2022-04-10,6,0.00,-0.22,3,3.00,3,-3.00
2022-04-11,40,4.00,0.09,22,22.00,18,-18.00
2022-04-12,44,0.00,-0.28,22,22.00,22,-22.00
2022-04-13,42,8.00,0.28,25,25.00,17,-17.00
2022-04-14,86,-12.00,-0.17,37,37.00,49,-49.00
2022-04-15,55,1.00,0.09,28,28.00,27,-27.00
2022-04-16,3,-1.00,-0.33,1,1.00,2,-2.00
2022-04-17,3,3.00,1.00,3,3.00,0,0.00
2022-04-18,33,-5.00,-0.00,14,14.00,19,-19.00
2022-04-19,68,8.00,0.18,38,38.00,30,-30.00
2022-04-20,44,10.00,0.21,27,27.00,17,-17.00
2022-04-21,74,2.00,-0.14,38,38.00,36,-36.00
2022-04-22,84,-24.00,-0.27,30,30.00,54,-54.00
2022-04-23,6,6.00,1.00,6,6.00,0,0.00
2022-04-24,30,20.00,0.73,25,25.00,5,-5.00
2022-04-25,68,-10.00,-0.05,29,29.00,39,-39.00
2022-04-26,68,4.00,0.13,36,36.00,32,-32.00
2022-04-27,72,-4.00,-0.15,34,34.00,38,-38.00
2022-04-28,31,-3.00,-0.19,14,14.00,17,-17.00
2022-04-29,31,5.00,0.23,18,18.00,13,-13.00
2022-04-30,1,1.00,1.00,1,1.00,0,0.00
2022-05-01,3,3.00,1.00,3,3.00,0,0.00
2022-05-02,1,1.00,1.00,1,1.00,0,0.00
2022-05-04,3,3.00,1.00,3,3.00,0,0.00
2022-05-05,23,5.00,0.43,14,14.00,9,-9.00
2022-05-06,29,3.00,0.12,16,16.00,13,-13.00
2022-05-07,2,2.00,1.00,2,2.00,0,0.00
2022-05-08,1,-1.00,-1.00,0,0.00,1,-1.00
2022-05-09,18,0.00,0.26,9,9.00,9,-9.00
2022-05-10,17,-1.00,-0.16,8,8.00,9,-9.00
2022-05-11,40,-4.00,0.10,18,18.00,22,-22.00
2022-05-12,27,1.00,0.13,14,14.00,13,-13.00
2022-05-13,47,13.00,0.29,30,30.00,17,-17.00
2022-05-14,6,4.00,0.68,5,5.00,1,-1.00
2022-05-15,6,2.00,0.36,4,4.00,2,-2.00
2022-05-16,32,-6.00,-0.11,13,13.00,19,-19.00
2022-05-17,38,-12.00,-0.29,13,13.00,25,-25.00
2022-05-18,36,-2.00,0.05,17,17.00,19,-19.00
2022-05-19,30,10.00,0.45,20,20.00,10,-10.00
2022-05-20,30,-4.00,0.08,13,13.00,17,-17.00
