time,all_num_东方雨虹,all_dic_score,东方雨虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-02-26,69,7.00,0.31,38,38.00,31,-31.00
2021-02-27,16,4.00,0.54,10,10.00,6,-6.00
2021-02-28,14,4.00,0.57,9,9.00,5,-5.00
2021-03-01,64,18.00,0.51,41,41.00,23,-23.00
2021-03-02,50,10.00,0.58,30,30.00,20,-20.00
2021-03-03,104,-22.00,-0.08,41,41.00,63,-63.00
2021-03-04,113,-11.00,0.30,51,51.00,62,-62.00
2021-03-05,45,3.00,0.56,24,24.00,21,-21.00
2021-03-06,8,2.00,0.03,5,5.00,3,-3.00
2021-03-07,5,1.00,0.20,3,3.00,2,-2.00
2021-03-08,66,4.00,0.06,35,35.00,31,-31.00
2021-03-09,105,-13.00,-0.19,46,46.00,59,-59.00
2021-03-10,51,13.00,0.67,32,32.00,19,-19.00
2021-03-11,64,8.00,0.33,36,36.00,28,-28.00
2021-03-12,48,-12.00,0.15,18,18.00,30,-30.00
2021-03-13,6,4.00,0.85,5,5.00,1,-1.00
2021-03-14,5,5.00,1.00,5,5.00,0,0.00
2021-03-15,56,-8.00,0.10,24,24.00,32,-32.00
2021-03-16,61,-9.00,-0.09,26,26.00,35,-35.00
2021-03-17,63,7.00,0.23,35,35.00,28,-28.00
2021-03-18,35,7.00,0.63,21,21.00,14,-14.00
2021-03-19,40,10.00,0.43,25,25.00,15,-15.00
2021-03-20,8,4.00,0.68,6,6.00,2,-2.00
2021-03-21,3,1.00,0.52,2,2.00,1,-1.00
2021-03-22,83,-13.00,0.02,35,35.00,48,-48.00
2021-03-23,49,-1.00,0.63,24,24.00,25,-25.00
2021-03-24,76,-20.00,-0.07,28,28.00,48,-48.00
2021-03-25,51,3.00,0.39,27,27.00,24,-24.00
2021-03-26,118,12.00,0.35,65,65.00,53,-53.00
2021-03-27,17,5.00,0.52,11,11.00,6,-6.00
2021-03-28,15,7.00,0.25,11,11.00,4,-4.00
2021-03-29,102,-6.00,0.05,48,48.00,54,-54.00
2021-03-30,72,6.00,0.47,39,39.00,33,-33.00
2021-03-31,53,11.00,0.50,32,32.00,21,-21.00
2021-04-01,84,14.00,0.65,49,49.00,35,-35.00
2021-04-02,229,-21.00,0.26,104,104.00,125,-125.00
2021-04-03,21,-1.00,0.83,10,10.00,11,-11.00
2021-04-04,13,5.00,0.83,9,9.00,4,-4.00
2021-04-05,16,0.00,0.22,8,8.00,8,-8.00
2021-04-06,67,3.00,-0.30,35,35.00,32,-32.00
2021-04-07,89,5.00,0.32,47,47.00,42,-42.00
2021-04-08,100,14.00,0.43,57,57.00,43,-43.00
2021-04-09,118,-18.00,-0.05,50,50.00,68,-68.00
2021-04-10,14,8.00,0.67,11,11.00,3,-3.00
2021-04-11,12,0.00,0.69,6,6.00,6,-6.00
2021-04-12,85,-5.00,0.23,40,40.00,45,-45.00
2021-04-13,45,-11.00,0.00,17,17.00,28,-28.00
2021-04-14,74,2.00,0.38,38,38.00,36,-36.00
2021-04-15,105,25.00,0.41,65,65.00,40,-40.00
2021-04-16,120,12.00,0.56,66,66.00,54,-54.00
2021-04-17,13,1.00,0.34,7,7.00,6,-6.00
2021-04-18,18,0.00,-0.71,9,9.00,9,-9.00
2021-04-19,70,12.00,0.50,41,41.00,29,-29.00
2021-04-20,41,7.00,0.52,24,24.00,17,-17.00
2021-04-21,61,11.00,0.54,36,36.00,25,-25.00
2021-04-22,64,14.00,0.27,39,39.00,25,-25.00
2021-04-23,113,3.00,0.48,58,58.00,55,-55.00
2021-04-24,14,0.00,0.10,7,7.00,7,-7.00
2021-04-25,23,7.00,0.05,15,15.00,8,-8.00
2021-04-26,74,14.00,0.33,44,44.00,30,-30.00
2021-04-27,63,11.00,0.23,37,37.00,26,-26.00
2021-04-28,69,11.00,0.26,40,40.00,29,-29.00
2021-04-29,56,-8.00,-0.20,24,24.00,32,-32.00
2021-04-30,57,7.00,0.22,32,32.00,25,-25.00
2021-05-01,6,0.00,-0.07,3,3.00,3,-3.00
2021-05-02,4,0.00,0.50,2,2.00,2,-2.00
2021-05-03,2,0.00,0.02,1,1.00,1,-1.00
2021-05-04,3,1.00,0.37,2,2.00,1,-1.00
2021-05-05,12,6.00,0.82,9,9.00,3,-3.00
2021-05-06,29,-7.00,-0.06,11,11.00,18,-18.00
2021-05-07,51,-5.00,0.34,23,23.00,28,-28.00
2021-05-08,7,3.00,0.58,5,5.00,2,-2.00
2021-05-09,7,-1.00,0.08,3,3.00,4,-4.00
2021-05-10,47,1.00,0.08,24,24.00,23,-23.00
2021-05-11,53,5.00,0.13,29,29.00,24,-24.00
2021-05-12,112,-4.00,0.19,54,54.00,58,-58.00
2021-05-13,45,11.00,0.41,28,28.00,17,-17.00
2021-05-14,68,-10.00,-0.41,29,29.00,39,-39.00
2021-05-15,16,10.00,0.61,13,13.00,3,-3.00
2021-05-16,8,0.00,0.56,4,4.00,4,-4.00
2021-05-17,51,-7.00,-0.03,22,22.00,29,-29.00
