time,all_num_百润股份,all_dic_score,百润股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-02,3,3.00,1.00,3,3.00,0,0.00
2022-05-04,3,1.00,0.65,2,2.00,1,-1.00
2022-05-05,27,11.00,0.20,19,19.00,8,-8.00
2022-05-06,19,11.00,0.82,15,15.00,4,-4.00
2022-05-07,10,8.00,0.58,9,9.00,1,-1.00
2022-05-08,2,2.00,1.00,2,2.00,0,0.00
2022-05-09,30,6.00,0.29,18,18.00,12,-12.00
2022-05-10,9,1.00,-0.03,5,5.00,4,-4.00
2022-05-11,26,18.00,0.68,22,22.00,4,-4.00
2022-05-12,21,17.00,0.88,19,19.00,2,-2.00
2022-05-13,22,10.00,-0.40,16,16.00,6,-6.00
2022-05-14,1,1.00,1.00,1,1.00,0,0.00
2022-05-15,12,4.00,0.55,8,8.00,4,-4.00
2022-05-16,10,10.00,1.00,10,10.00,0,0.00
2022-05-17,24,14.00,0.57,19,19.00,5,-5.00
2022-05-18,30,18.00,0.75,24,24.00,6,-6.00
2022-05-19,22,10.00,0.67,16,16.00,6,-6.00
2022-05-20,47,23.00,0.44,35,35.00,12,-12.00
2022-05-21,4,2.00,0.35,3,3.00,1,-1.00
2022-05-22,12,8.00,0.77,10,10.00,2,-2.00
2022-05-23,8,0.00,0.07,4,4.00,4,-4.00
2022-05-24,13,3.00,0.29,8,8.00,5,-5.00
2022-05-25,28,14.00,0.66,21,21.00,7,-7.00
2022-05-26,39,15.00,0.48,27,27.00,12,-12.00
2022-05-27,17,7.00,0.61,12,12.00,5,-5.00
2022-05-28,3,3.00,1.00,3,3.00,0,0.00
2022-05-29,3,3.00,1.00,3,3.00,0,0.00
2022-05-30,27,15.00,0.58,21,21.00,6,-6.00
2022-05-31,72,30.00,0.44,51,51.00,21,-21.00
2022-06-01,70,30.00,0.47,50,50.00,20,-20.00
2022-06-02,32,12.00,0.43,22,22.00,10,-10.00
2022-06-03,4,4.00,1.00,4,4.00,0,0.00
2022-06-04,4,0.00,0.03,2,2.00,2,-2.00
2022-06-05,5,3.00,0.51,4,4.00,1,-1.00
2022-06-06,13,7.00,0.50,10,10.00,3,-3.00
2022-06-07,24,10.00,0.44,17,17.00,7,-7.00
2022-06-08,41,13.00,0.53,27,27.00,14,-14.00
2022-06-09,15,9.00,0.60,12,12.00,3,-3.00
2022-06-10,31,11.00,0.45,21,21.00,10,-10.00
2022-06-11,3,3.00,1.00,3,3.00,0,0.00
2022-06-12,5,3.00,0.22,4,4.00,1,-1.00
2022-06-13,23,9.00,0.58,16,16.00,7,-7.00
2022-06-14,29,21.00,0.79,25,25.00,4,-4.00
2022-06-15,34,18.00,0.57,26,26.00,8,-8.00
2022-06-16,70,38.00,0.62,54,54.00,16,-16.00
2022-06-17,30,26.00,0.91,28,28.00,2,-2.00
2022-06-18,6,4.00,0.79,5,5.00,1,-1.00
2022-06-19,7,7.00,1.00,7,7.00,0,0.00
2022-06-20,34,18.00,0.72,26,26.00,8,-8.00
2022-06-21,17,11.00,0.71,14,14.00,3,-3.00
2022-06-22,19,15.00,0.38,17,17.00,2,-2.00
2022-06-23,40,18.00,0.44,29,29.00,11,-11.00
2022-06-24,34,24.00,0.87,29,29.00,5,-5.00
2022-06-25,1,1.00,1.00,1,1.00,0,0.00
2022-06-26,3,3.00,1.00,3,3.00,0,0.00
2022-06-27,17,11.00,0.57,14,14.00,3,-3.00
2022-06-28,14,4.00,-0.09,9,9.00,5,-5.00
2022-06-29,24,16.00,0.86,20,20.00,4,-4.00
2022-06-30,61,35.00,0.61,48,48.00,13,-13.00
